"NoFilter";"";"";"";"";"";"";"";"";""
"Unit : (2010 = 100)";"";"";"";"";"";"";"";"";""
"Source  : National Institue of Statistics";"";"";"";"";"";"";"";"";""
"Annual selling price index (ISPI) per branch (2010 = 100)";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";""
"";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021"
"MANUFACTURING INDUSTRIES";"112.6";"114.3";"119.6";"121.0";"126.1";"137.4";"145.0";"148.5";"165.5"
"AGRO-FOOD INDUSTRIES";"117.5";"121.6";"124.4";"126.3";"134.8";"144.3";"150.2";"152.0";"159.0"
"CONSTRUCTION MATERIALS, CERAMIC AND GLASS";"117.4";"127.9";"135.7";"140.1";"143.7";"153.9";"164.5";"171.7";"182.9"
"MECHANICAL AND ELECTRICAL MACHINERY AND EQUIPEMENT";"108.6";"110.0";"111.4";"112.4";"120.1";"131.1";"138.2";"146.7";"166.5"
"CHEMISTRY";"116.3";"114.4";"131.2";"130.2";"129.0";"148.4";"159.0";"146.8";"188.8"
"TEXTILE";"109.0";"109.5";"112.6";"115.5";"118.8";"125.0";"128.9";"138.3";"145.0"
"VARIOUS";"110.3";"110.8";"116.2";"117.5";"121.7";"133.3";"147.8";"155.3";"163.5"
"MINES";"156.1";"129.0";"151.3";"151.1";"150.1";"149.6";"180.5";"176.8";"180.8"
"ENERGY";"112.8";"121.7";"129.3";"132.9";"142.8";"147.9";"158.4";"161.3";"160.0"
"Total index";"113.2";"115.6";"121.4";"123.1";"128.8";"139.0";"147.3";"150.7";"164.6"
