"NoFilter";"";"";"";"";"";"";"";"";""
"Unit : Number";"";"";"";"";"";"";"";"";""
"Source  : Central Bank of Tunisia";"";"";"";"";"";"";"";"";""
"Evolution of the banking network";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";""
"";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2020";"2021"
"Tunisia";"1449";"1512";"1626";"1739";"1818";"1904";"1935";"1964";"1999"
"Governorate of Tunis";"340";"346";"400";"415";"425";"443";"447";"465";"473"
"Governorate of Ariana";"107";"116";"113";"130";"137";"149";"150";"138";"141"
"Governorate of Ben Arous";"102";"107";"115";"129";"138";"146";"148";"152";"153"
"Governorate of Manouba";"40";"42";"39";"41";"41";"42";"41";"41";"41"
"Governorate of Nabeul";"112";"116";"129";"136";"142";"144";"146";"150";"150"
"Governorate of Zaghouan";"19";"20";"18";"19";"19";"21";"21";"21";"22"
"Governorate of Bizerte";"57";"59";"65";"72";"74";"78";"80";"80";"81"
"Governorate of Beja";"26";"26";"26";"28";"30";"33";"34";"35";"35"
"Governorate of Jendouba";"28";"29";"29";"31";"32";"34";"36";"35";"37"
"Governorate of du Kef";"18";"19";"21";"22";"22";"22";"22";"21";"21"
"Governorate of Siliana";"11";"11";"14";"15";"16";"17";"17";"17";"18"
"Governorate of Sousse";"120";"125";"143";"153";"158";"164";"165";"171";"172"
"Governorate of Monastir";"67";"75";"80";"87";"94";"99";"100";"97";"99"
"Governorate of Mahdia";"36";"38";"35";"38";"41";"40";"40";"42";"42"
"Governorate of Sfax";"150";"157";"169";"178";"189";"199";"203";"210";"219"
"Governorate of Kairouan";"20";"20";"28";"30";"31";"32";"33";"34";"34"
"Governorate of Kasserine";"16";"17";"18";"19";"21";"22";"23";"24";"25"
"Governorate of Sidi Bouzid";"18";"19";"20";"21";"21";"21";"24";"25";"28"
"Governorate of Gabes";"43";"44";"39";"42";"44";"46";"47";"47";"49"
"Governorate of Medenine";"50";"53";"62";"64";"70";"75";"79";"78";"78"
"Governorate of Tataouine";"12";"14";"14";"16";"16";"17";"17";"18";"18"
"Governorate of Gafsa";"34";"34";"24";"25";"29";"32";"33";"33";"33"
"Governorate of Tozeur";"14";"15";"14";"15";"15";"15";"15";"14";"14"
"Governorate of Kebili";"9";"10";"11";"13";"13";"13";"14";"16";"16"
