"NoFilter";"";"";"";"";"";"";"";"";""
"Unit : (1962=100)";"";"";"";"";"";"";"";"";""
"Source  : National Institute of Statistics";"";"";"";"";"";"";"";"";""
"Evolution of the consumer price index by year of base";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";""
"";"February 2024";"March 2024";"April 2024";"May 2024";"June 2024";"July 2024";"August 2024";"September 2024";"October 2024"
"Base (1962=100)";"2461.0";"2477.3";"2499.3";"2511.9";"2524.9";"2535.0";"2543.8";"2564.1";"2585.3"
"Base (1970=100)";"1932.9";"1945.8";"1963.0";"1972.9";"1983.1";"1991.1";"1998.0";"2013.9";"2030.6"
"Base (1977=100)";"1378.8";"1388.0";"1400.3";"1407.3";"1414.6";"1420.3";"1425.2";"1436.6";"1448.5"
"Base (1983=100)";"783.3";"788.5";"795.5";"799.5";"803.6";"806.9";"809.7";"816.1";"822.9"
"Base (1990=100)";"477.4";"480.6";"484.9";"487.3";"489.8";"491.8";"493.5";"497.4";"501.5"
"Base (2000=100)";"307.4";"309.5";"312.2";"313.8";"315.4";"316.7";"317.8";"320.3";"322.9"
"Base (2005=100)";"270.2";"272.0";"274.4";"275.8";"277.2";"278.3";"279.3";"281.5";"283.9"
"Base ( 2010=100)";"218.6";"220.1";"222.0";"223.2";"224.3";"225.2";"226.0";"227.8";"229.7"
