"NoFilter";"";"";"";"";"";"";"";"";""
"Unit : (2010 = 100)";"";"";"";"";"";"";"";"";""
"Source  : National Institue of Statistics";"";"";"";"";"";"";"";"";""
"Industrial selling price index (ISPI) per branch (2010 = 100)";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";""
"";"April 2023";"May 2023";"June 2023";"July 2023";"August 2023";"September 2023";"October 2023";"November 2023";"December 2023"
"MANUFACTURING INDUSTRIES";"187.5";"186.0";"186.0";"187.7";"186.5";"186.9";"190.3";"190.1";"190.0"
"AGRO-FOOD INDUSTRIES";"187.4";"187.4";"187.8";"190.1";"192.0";"191.3";"191.1";"189.7";"189.0"
"CONSTRUCTION MATERIALS, CERAMIC AND GLASS";"198.2";"198.2";"198.3";"198.9";"198.3";"199.9";"200.0";"198.6";"199.5"
"MECHANICAL AND ELECTRICAL MACHINERY AND EQUIPEMENT";"190.2";"190.3";"188.9";"194.7";"195.6";"196.7";"198.6";"199.8";"200.9"
"CHEMISTRY";"202.9";"193.8";"195.6";"193.1";"182.3";"183.2";"200.0";"199.3";"197.4"
"TEXTILE";"165.7";"165.7";"165.7";"165.7";"165.7";"165.7";"165.7";"165.8";"165.8"
"VARIOUS";"184.9";"185.1";"185.4";"182.4";"181.5";"181.4";"181.8";"181.9";"181.2"
"MINES";"236.7";"236.7";"237.8";"177.8";"177.8";"177.8";"177.8";"177.8";"177.8"
"ENERGY";"187.4";"186.6";"195.6";"194.7";"195.4";"196.2";"197.7";"198.2";"197.9"
"Total index";"187.9";"186.6";"188.0";"188.3";"187.4";"187.9";"190.9";"190.8";"190.7"
