"NoFilter";"";"";"";"";"";"";"";"";""
"Unit : (2015 = 100)";"";"";"";"";"";"";"";"";""
"Source  : National Institute of Statistics";"";"";"";"";"";"";"";"";""
"Inflation ( Annual glissement)";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";""
"";"February 2024";"March 2024";"April 2024";"May 2024";"June 2024";"July 2024";"August 2024";"September 2024";"October 2024"
"Food and non-alcoholic beverages";"10.2";"10.2";"9.2";"9.7";"10.1";"9.4";"8.5";"9.2";"9.3"
"Alcoholic beverages, tobacco";"9.0";"9.0";"9.0";"8.8";"8.9";"8.6";"5.4";"0.3";"0.2"
"Clothing and footwear";"10.0";"10.1";"9.7";"9.5";"9.4";"9.5";"9.9";"9.7";"9.5"
"Housing, water, electricity, gas and other fuels";"3.8";"4.3";"4.3";"4.2";"4.2";"4.1";"4.2";"4.2";"4.1"
"Furnishings, household equipment and routine household maintenance";"6.7";"6.4";"6.3";"6.3";"6.2";"6.0";"5.9";"5.8";"5.7"
"Health";"9.1";"9.3";"9.3";"9.0";"9.0";"8.6";"8.4";"8.8";"8.7"
"Transport";"3.7";"3.3";"3.1";"3.1";"3.2";"3.0";"3.2";"3.4";"3.3"
"Communication";"2.5";"2.5";"2.5";"2.4";"2.2";"2.2";"2.2";"2.1";"2.1"
"Recreation and culture";"5.2";"4.9";"5.2";"5.3";"5.4";"5.7";"5.8";"7.0";"7.3"
"Education";"9.5";"9.5";"9.5";"9.5";"9.4";"9.3";"8.8";"8.4";"8.3"
"Restaurants and hotels";"10.4";"10.2";"10.4";"10.2";"9.9";"8.7";"8.7";"8.8";"11.1"
"Miscellaneous goods and services";"8.6";"8.2";"7.5";"7.3";"7.1";"6.9";"6.9";"6.1";"5.9"
"All";"7.5";"7.5";"7.2";"7.2";"7.3";"7.0";"6.7";"6.7";"6.7"
