"NoFilter";"";"";"";"";"";"";"";"";""
"Unit : Dinars";"";"";"";"";"";"";"";"";""
"Source  : Central Bank of Tunisia";"";"";"";"";"";"";"";"";""
"Interbank market exchange rate averages for month";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";""
"";"April 2019";"May 2019";"June 2019";"July 2019";"August 2019";"September 2019";"October 2019";"November 2019";"December 2019"
"U.S Dollar";"2.9980";"2.9800";"2.8740";"2.8760";"2.8720";"2.8680";"2.8260";"2.8620";"2.7990"
"Euro";"3.3520";"3.3280";"3.2730";"3.2090";"3.1700";"3.1320";"3.1540";"3.1490";"3.1400"
"Japanese Yen in 1000 units";"26.8310";"27.4180";"26.6880";"26.5070";"26.9770";"26.5810";"26.1510";"26.1170";"25.7710"
"UK Pound";"3.8930";"3.7540";"3.6560";"3.5030";"3.4930";"3.5380";"3.6580";"3.6890";"3.6920"
"10 Moroccan Dirhams";"3.0920";"3.0680";"3.0040";"2.9960";"2.9790";"2.9500";"2.9410";"2.9640";"2.9130"
