"NoFilter";"";"";"";"";"";"";"";"";""
"Unit : Percentage";"";"";"";"";"";"";"";"";""
"Source  : Central Bank of Tunisia";"";"";"";"";"";"";"";"";""
"Interest rate (in %)";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";""
"";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021"
"Monetary market interest rates";"4.7";"4.9";"4.3";"4.3";"5.2";"7.2";"7.8";"6.1";"6.3"
"Savings remuneration rate";"2.8";"3.5";"3.5";"3.5";"4.0";"5.0";"5.0";"5.0";"5.0"
"Maximum overdraft rates (used to determine the legal interest rate)";"11.7";"11.9";"11.3";"11.3";"12.6";"14.2";"14.8";"13.1";"13.3"
