"NoFilter";"";"";"";"";"";"";"";"";""
"Unit :";"";"";"";"";"";"";"";"";""
"Source  : Tunis Stock Exchange";"";"";"";"";"";"";"";"";""
"Main bourse indicators";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";""
"";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021"
"index Tunindex (Base 1000 at 12/31/97)";"4381.30";"5090.00";"5042.16";"5488.77";"6281.83";"7271.65";"7122.09";"6884.90";"7046.01"
"Number of listed companies";"71.00";"77.00";"78.00";"79.00";"81.00";"82.00";"81.00";"--";"--"
"market capitalization";"14092.80";"17324.00";"17830.00";"19300.00";"21852.00";"24398.00";"23724.00";"23092.20";"23262.30"
"Capital treated (Shares and rights)";"224.10";"242.50";"162.80";"229.20";"990.30";"299.90";"197.00";"334.50";"155.10"
"shares traded";"26926.00";"30059.00";"20939.00";"24618.00";"77940.00";"29880.00";"16385.00";"46627.00";"13863.00"
