"NoFilter";"";"";"";"";"";"";"";"";""
"Unit : (2015 = 100)";"";"";"";"";"";"";"";"";""
"Source  : National Institute of Statistics";"";"";"";"";"";"";"";"";""
"Monthly variations of the Price Index of the Family Consumption (Base 100 in 2015)";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";""
"";"February 2024";"March 2024";"April 2024";"May 2024";"June 2024";"July 2024";"August 2024";"September 2024";"October 2024"
"Food and non-alcoholic beverages";"0.7";"1.2";"0.5";"0.9";"0.4";"0.4";"1.5";"1.5";"0.2"
"Alcoholic beverages, tobacco";"0.1";"0.0";"0.0";"0.0";"0.1";"0.1";"0.0";"0.2";"0.0"
"Clothing and footwear";"-4.5";"1.1";"6.3";"0.6";"1.7";"0.5";"-4.5";"-0.1";"6.2"
"Housing, water, electricity, gas and other fuels";"0.3";"0.7";"0.3";"0.3";"0.5";"0.4";"0.5";"0.2";"0.2"
"Furnishings, household equipment and routine household maintenance";"0.3";"0.4";"0.6";"0.5";"0.6";"0.7";"0.5";"0.4";"0.4"
"Health";"5.2";"0.5";"0.3";"0.3";"0.3";"0.2";"0.2";"0.6";"0.2"
"Transport";"0.4";"0.1";"0.2";"0.3";"0.2";"0.2";"0.4";"0.4";"0.1"
"Communication";"-0.1";"0.1";"0.1";"0.0";"0.1";"0.1";"0.1";"0.1";"0.1"
"Recreation and culture";"0.3";"0.3";"0.6";"0.5";"0.8";"0.8";"0.8";"1.4";"0.5"
"Education";"0.1";"0.1";"0.0";"0.0";"0.1";"0.0";"1.1";"3.9";"0.3"
"Restaurants and hotels";"0.4";"0.2";"0.9";"0.9";"0.9";"1.2";"1.1";"0.5";"2.5"
"Miscellaneous goods and services";"0.2";"0.4";"0.7";"0.3";"0.6";"0.5";"0.4";"0.5";"0.5"
"All";"0.2";"0.7";"0.9";"0.5";"0.5";"0.4";"0.3";"0.8";"0.8"
