"NoFilter";"";"";"";"";"";"";"";""
"Unit : (2010=100)";"";"";"";"";"";"";"";""
"Source  : National Institute of Statistics";"";"";"";"";"";"";"";""
"Real estate prices by property type";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";""
"";"second-quarter 2022";"third-quarter 2022";"fourth-quarter 2022";"first-quarter 2023";"second-quarter 2023";"third-quarter 2023";"fourth-quarter 2023";"first-quarter 2024"
"Bare land";"161.4";"165.0";"169.1";"167.6";"169.6";"168.4";"182.1";"175.9"
"Apartement";"160.7";"161.4";"170.9";"178.3";"167.5";"165.7";"173.3";"178.5"
"House";"151.7";"143.6";"143.6";"151.7";"159.7";"166.2";"167.0";"175.1"
"General Index";"--";"--";"--";"--";"--";"--";"--";"--"
