"NoFilter";"";"";"";"";"";"";"";"";""
"Unit : Million Dinars";"";"";"";"";"";"";"";"";""
"Source  : Central Bank of Tunisia";"";"";"";"";"";"";"";"";""
"Resources of the financial system and their counterparts";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";""
"";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022"
"Aggregate 4 M";"59395.0";"62360.3";"67339.1";"74874.8";"79683.4";"87616.1";"97262.3";"107046.9";"117134.2"
"special Resources";"2201.6";"3954.5";"3582.2";"4582.0";"4824.7";"5258.7";"5337.2";"5265.1";"4633.5"
"Own funds";"14072.8";"16008.7";"17254.7";"19073.4";"20270.1";"22089.3";"25087.5";"26399.2";"28329.3"
"Other Resources";"1255.1";"760.3";"1014.5";"1079.4";"1469.9";"1515.6";"2221.0";"9755.8";"9233.5"
"Net receivables on the Outside";"2180.8";"1901.0";"-1004.5";"-2891.9";"-4331.3";"192.4";"227.2";"6111.4";"3721.4"
"Net receivables on government (broadly defined)";"11954.4";"14434.8";"17126.9";"19938.7";"20805.0";"23442.4";"28090.7";"36111.3";"40633.0"
"Competition in the Economy";"62789.3";"66748.0";"73068.1";"82562.8";"89774.4";"92844.9";"101590.1";"106244.3";"114976.1"
