"NoFilter";"";"";"";"";"";"";"";"";""
"Unit : Number";"";"";"";"";"";"";"";"";""
"Source  : Central Bank of Tunisia";"";"";"";"";"";"";"";"";""
"Structure of the financial system";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";""
"";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022"
"Central Bank";"1";"1";"1";"1";"1";"1";"1";"1";"1"
"Deposits Bank";"22";"23";"24";"23";"23";"23";"23";"23";"23"
"Institutions of collecting and savings";"1";"1";"1";"1";"1";"1";"1";"1";"1"
"OFFSHORE Banks";"7";"7";"7";"7";"7";"7";"7";"7";"7"
"Investment Companies";"134";"134";"134";"148";"148";"149";"150";"154";"154"
"Postal Cheque Centre";"1";"1";"1";"1";"1";"1";"1";"1";"1"
"Exchange Stock";"1";"1";"1";"1";"1";"1";"1";"1";"1"
"Companies of Factoring";"6";"6";"6";"4";"4";"4";"4";"4";"4"
"Leasing companies";"13";"8";"8";"8";"8";"8";"8";"8";"8"
