"NoFilter";"";"";"";"";"";"";"";""
"Unit : Percentage";"";"";"";"";"";"";"";""
"Source  : National Institute of Statistics";"";"";"";"";"";"";"";""
"Annual glissement of real estate prices by property type";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";""
"";"second-quarter 2022";"third-quarter 2022";"fourth-quarter 2022";"first-quarter 2023";"second-quarter 2023";"third-quarter 2023";"fourth-quarter 2023";"first-quarter 2024"
"Bare land";"6.8";"10.5";"10.6";"8.3";"5.1";"2.0";"7.7";"4.9"
"Apartment";"3.6";"6.9";"15.0";"14.8";"4.2";"2.7";"1.4";"0.1"
"Houses";"5.3";"8.4";"5.2";"1.9";"5.3";"15.7";"16.3";"15.4"
"Annual general variation";"--";"--";"--";"--";"--";"--";"--";"--"
